"id","LineTime","emmean","SE","df","lower.CL","upper.CL",".group","type"
"1 Day","cbr_Old",3.1568108988405754,0.07089171043295256,100,3.0161637644421786,3.2974580332389722," a  ","PEPC"
"1 Day","s06_Older",3.2623926918480604,0.07426405853946833,100,3.1150549148557896,3.409730468840331," ab ","PEPC"
"1 Day","syd_Old",3.398580381262272,0.06972214581252185,100,3.2602536297598825,3.5369071327646613," abc","PEPC"
"1 Day","ct_New",3.5457118764838493,0.0771125767671086,100,3.392722720457945,3.698701032509754,"  bc","PEPC"
"1 Day","syd_New",3.617350573042514,0.08244787941225373,100,3.4537763285259384,3.7809248175590895,"   c","PEPC"
"1 Day","cbr_New",3.659868224420576,0.08918912380855014,100,3.4829195430223416,3.83681690581881,"   c","PEPC"
"1 Day","ct_Old",3.6841015929631746,0.07230109573812793,100,3.5406582782606844,3.827544907665665,"   c","PEPC"
"19 Day","ct_New",3.986735375717484,0.1320162827464469,93,3.7245772019163987,4.24889354951857," a","PEPC"
"19 Day","syd_Old",4.042350120879409,0.12262249136201313,93,3.798846155053118,4.285854086705699," a","PEPC"
"19 Day","ct_Old",4.07242125923815,0.11835722517702499,93,3.837387266740677,4.3074552517356235," a","PEPC"
"19 Day","cbr_Old",4.133206985459294,0.12197683971706057,93,3.8909851558409856,4.375428815077603," a","PEPC"
"19 Day","cbr_New",4.158947131161095,0.14896710197295351,93,3.8631279897853643,4.454766272536825," a","PEPC"
"19 Day","syd_New",4.235758622359831,0.11775616527118513,93,4.001918215713905,4.469599029005757," a","PEPC"
"19 Day","s06_Older",4.240360966750301,0.11807785965387246,93,4.005881738815569,4.474840194685033," a","PEPC"
