"Line","Age","Time","LineTimeAge","SubClass","AcylClass","MEAN","SE","n"
"cbr","1 Day","New","cbr_New_1 Day","PE p","L0",0.294812614883602,0.00920561188206901,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","LX",0.458768149408471,0.0163415810163467,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","M1",0.134200759655173,0.00448370883630253,11
"cbr","1 Day","New","cbr_New_1 Day","PE p","MX",0.112218476052754,0.00895900371747682,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","L0",0.294485284426919,0.00799042567309588,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","LX",0.454466459111284,0.0117248839518625,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","M1",0.140892126496892,0.00333182099414923,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE p","MX",0.110156129964904,0.00772010014467089,18
"cbr","19 Day","New","cbr_New_19 Day","PE p","L0",0.404216601283957,0.0168779269656374,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","LX",0.404124357525426,0.0206189272850598,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","M1",0.147531744353061,0.0142263289489149,10
"cbr","19 Day","New","cbr_New_19 Day","PE p","MX",0.0441272968375558,0.00649619717348173,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","L0",0.422594200386288,0.00814759094608533,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","LX",0.381553587750505,0.0131742810658821,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","M1",0.152299900412736,0.00940208263840809,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE p","MX",0.0435523114504708,0.00297567724156096,15
"ct","1 Day","New","ct_New_1 Day","PE p","L0",0.283506446262135,0.0050514298283942,15
"ct","1 Day","New","ct_New_1 Day","PE p","LX",0.488712432171494,0.00761095604896585,15
"ct","1 Day","New","ct_New_1 Day","PE p","M1",0.125568073080589,0.00213964440036686,15
"ct","1 Day","New","ct_New_1 Day","PE p","MX",0.102213048485782,0.0055311287159943,15
"ct","1 Day","Old","ct_Old_1 Day","PE p","L0",0.307324181471889,0.00746457870314343,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","LX",0.467619661635793,0.0120397087742386,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","M1",0.125717655879481,0.00259241851208765,17
"ct","1 Day","Old","ct_Old_1 Day","PE p","MX",0.0993385010128376,0.00692344332871726,17
"ct","19 Day","New","ct_New_19 Day","PE p","L0",0.452464929162416,0.0198564134410678,13
"ct","19 Day","New","ct_New_19 Day","PE p","LX",0.36728609730788,0.0202127577628564,13
"ct","19 Day","New","ct_New_19 Day","PE p","M1",0.144666961268895,0.00570645144105953,13
"ct","19 Day","New","ct_New_19 Day","PE p","MX",0.0355820122608087,0.00244117510021854,13
"ct","19 Day","Old","ct_Old_19 Day","PE p","L0",0.449711594234187,0.00804235127124332,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","LX",0.359556467944671,0.00953882314391129,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","M1",0.157298706425517,0.00779650496019942,16
"ct","19 Day","Old","ct_Old_19 Day","PE p","MX",0.0334332313956252,0.00135158807762754,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","L0",0.300640774076262,0.00770147490138437,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","LX",0.452662896906916,0.00949666186569014,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","M1",0.128738486139625,0.00271315164881664,16
"s06","1 Day","Older","s06_Older_1 Day","PE p","MX",0.117957842877197,0.00794278033793876,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","L0",0.451898699149005,0.00663756997467127,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","LX",0.374670470243459,0.00859490773576556,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","M1",0.138640309329594,0.00368245189747487,16
"s06","19 Day","Older","s06_Older_19 Day","PE p","MX",0.034790521277943,0.00106217120167799,16
"syd","1 Day","New","syd_New_1 Day","PE p","L0",0.301249259138219,0.0144273627109184,13
"syd","1 Day","New","syd_New_1 Day","PE p","LX",0.455184746831475,0.0161310422324666,13
"syd","1 Day","New","syd_New_1 Day","PE p","M1",0.134078129743059,0.00381749945450725,13
"syd","1 Day","New","syd_New_1 Day","PE p","MX",0.109487864287247,0.00711433824715962,13
"syd","1 Day","Old","syd_Old_1 Day","PE p","L0",0.299463240080378,0.00784007944387724,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","LX",0.467090777703425,0.0118430001929199,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","M1",0.129648669023868,0.0038845955956996,18
"syd","1 Day","Old","syd_Old_1 Day","PE p","MX",0.103797313192328,0.0066444764216042,18
"syd","19 Day","New","syd_New_19 Day","PE p","L0",0.439590755586034,0.00587267739470605,16
"syd","19 Day","New","syd_New_19 Day","PE p","LX",0.379702269709131,0.0108607575195467,16
"syd","19 Day","New","syd_New_19 Day","PE p","M1",0.143377888597622,0.00716283645746259,16
"syd","19 Day","New","syd_New_19 Day","PE p","MX",0.0373290861072142,0.00144018802612079,16
"syd","19 Day","Old","syd_Old_19 Day","PE p","L0",0.449388378814327,0.00543505966812764,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","LX",0.360399123354459,0.00662504081647034,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","M1",0.153944401567905,0.00633136520055085,15
"syd","19 Day","Old","syd_Old_19 Day","PE p","MX",0.0362680962633088,0.000945045081897092,15
"cbr","1 Day","New","cbr_New_1 Day","PE e","L0",8.56625012386746e-05,8.56625012386746e-05,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","LX",0.560770239211263,0.012919449524878,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","M1",0.134276541145874,0.00720755200442762,11
"cbr","1 Day","New","cbr_New_1 Day","PE e","MX",0.304867557141624,0.0136535359888347,11
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","L0",0.00509627075271875,0.0034833692730235,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","LX",0.573785014120887,0.006372044429436,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","M1",0.12544164936745,0.00361336495558884,18
"cbr","1 Day","Old","cbr_Old_1 Day","PE e","MX",0.295677065758944,0.00539881577943231,18
"cbr","19 Day","New","cbr_New_19 Day","PE e","L0",0,0,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","LX",0.386674232696106,0.026981834703909,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","M1",0.314558015346551,0.0234747928255285,10
"cbr","19 Day","New","cbr_New_19 Day","PE e","MX",0.298767751957342,0.0130913518787268,10
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","L0",0,0,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","LX",0.370850936256362,0.0150679239214832,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","M1",0.328560556448376,0.0107969419920887,15
"cbr","19 Day","Old","cbr_Old_19 Day","PE e","MX",0.300588507295262,0.0131476093414084,15
"ct","1 Day","New","ct_New_1 Day","PE e","L0",5.10814980330008e-05,5.10814980330008e-05,15
"ct","1 Day","New","ct_New_1 Day","PE e","LX",0.575677970313383,0.00789129186098312,15
"ct","1 Day","New","ct_New_1 Day","PE e","M1",0.116776356437529,0.00308778922907624,15
"ct","1 Day","New","ct_New_1 Day","PE e","MX",0.307494591751055,0.00628051114336735,15
"ct","1 Day","Old","ct_Old_1 Day","PE e","L0",9.89893915635858e-05,5.67270890522694e-05,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","LX",0.575964292094336,0.0058536877423419,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","M1",0.114634531195207,0.00579331359624859,17
"ct","1 Day","Old","ct_Old_1 Day","PE e","MX",0.309302187318893,0.00704792495774955,17
"ct","19 Day","New","ct_New_19 Day","PE e","L0",0,0,13
"ct","19 Day","New","ct_New_19 Day","PE e","LX",0.362400486932951,0.0207306872472153,13
"ct","19 Day","New","ct_New_19 Day","PE e","M1",0.335862180473709,0.0142598680919806,13
"ct","19 Day","New","ct_New_19 Day","PE e","MX",0.301737332593341,0.0167100338570183,13
"ct","19 Day","Old","ct_Old_19 Day","PE e","L0",0,0,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","LX",0.358360402783604,0.0124846262433104,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","M1",0.349421558800603,0.0102213161172229,16
"ct","19 Day","Old","ct_Old_19 Day","PE e","MX",0.292218038415793,0.0105018019880842,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","L0",0.000347620028239542,0.000121651167028718,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","LX",0.574322855831608,0.00903847549464218,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","M1",0.119085390063227,0.00540585657123795,16
"s06","1 Day","Older","s06_Older_1 Day","PE e","MX",0.306244134076926,0.0073647085484652,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","L0",0,0,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","LX",0.361877743482013,0.013561516272224,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","M1",0.337618365612262,0.00824889517360653,16
"s06","19 Day","Older","s06_Older_19 Day","PE e","MX",0.300503890905725,0.0108685609559201,16
"syd","1 Day","New","syd_New_1 Day","PE e","L0",0.00806299064274126,0.00473811435594199,13
"syd","1 Day","New","syd_New_1 Day","PE e","LX",0.553954629150921,0.00548268733894267,13
"syd","1 Day","New","syd_New_1 Day","PE e","M1",0.137365162071033,0.00695635225031563,13
"syd","1 Day","New","syd_New_1 Day","PE e","MX",0.300617218135305,0.00810717193224965,13
"syd","1 Day","Old","syd_Old_1 Day","PE e","L0",0.000247449913096261,0.000187344715601929,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","LX",0.580546129808436,0.00525074569897249,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","M1",0.114732996606876,0.00440517356968116,18
"syd","1 Day","Old","syd_Old_1 Day","PE e","MX",0.304473423671591,0.00441613502569873,18
"syd","19 Day","New","syd_New_19 Day","PE e","L0",0,0,16
"syd","19 Day","New","syd_New_19 Day","PE e","LX",0.352515617671029,0.0132365390725267,16
"syd","19 Day","New","syd_New_19 Day","PE e","M1",0.347149517597965,0.0109536642036292,16
"syd","19 Day","New","syd_New_19 Day","PE e","MX",0.300334864731005,0.0101989301654889,16
"syd","19 Day","Old","syd_Old_19 Day","PE e","L0",0,0,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","LX",0.337597577642517,0.00740843556508918,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","M1",0.354713748734187,0.0074636479336596,15
"syd","19 Day","Old","syd_Old_19 Day","PE e","MX",0.307688673623296,0.00715782681393177,15
"cbr","1 Day","New","cbr_New_1 Day","PC e","S1",1,0,11
"cbr","1 Day","Old","cbr_Old_1 Day","PC e","S1",1,0,17
"cbr","19 Day","New","cbr_New_19 Day","PC e","S1",1,0,10
"cbr","19 Day","Old","cbr_Old_19 Day","PC e","S1",1,0,15
"ct","1 Day","New","ct_New_1 Day","PC e","S1",1,0,15
"ct","1 Day","Old","ct_Old_1 Day","PC e","S1",1,0,17
"ct","19 Day","New","ct_New_19 Day","PC e","S1",1,0,13
"ct","19 Day","Old","ct_Old_19 Day","PC e","S1",1,0,16
"s06","1 Day","Older","s06_Older_1 Day","PC e","S1",1,0,16
"s06","19 Day","Older","s06_Older_19 Day","PC e","S1",1,0,16
"syd","1 Day","New","syd_New_1 Day","PC e","S1",1,0,12
"syd","1 Day","Old","syd_Old_1 Day","PC e","S1",1,0,18
"syd","19 Day","New","syd_New_19 Day","PC e","S1",1,0,16
"syd","19 Day","Old","syd_Old_19 Day","PC e","S1",1,0,15
"cbr","1 Day","New","cbr_New_1 Day","TG e","L0",0.0322273562691722,0.0322273562691722,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","M0",0.183976181593282,0.0597408432101665,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","M1",0.775039722641633,0.0743924932162052,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","MX",0.00437836974795653,0.00437836974795653,11
"cbr","1 Day","New","cbr_New_1 Day","TG e","SX",0.00437836974795653,0.00437836974795653,11
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","L0",0.0548180127532295,0.0272609842884836,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","M0",0.0943309194372787,0.029637374709991,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","M1",0.82863393068578,0.0573813331230781,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","MX",0.0111085685618561,0.00768741112943397,17
"cbr","1 Day","Old","cbr_Old_1 Day","TG e","SX",0.0111085685618561,0.00768741112943397,17
"cbr","19 Day","New","cbr_New_19 Day","TG e","L0",0.182572462898166,0.0599915362504015,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","M0",0.360856494455445,0.0494722849258169,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","M1",0.450797759064516,0.0863732571333555,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","MX",0.00288664179093632,0.00153372200826819,9
"cbr","19 Day","New","cbr_New_19 Day","TG e","SX",0.00288664179093632,0.00153372200826819,9
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","L0",0.0546160190473093,0.0300427876254358,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","M0",0.26441558969303,0.0597299383324823,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","M1",0.677146569619645,0.07415198196222,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","MX",0.00191091082000808,0.00120658369057662,15
"cbr","19 Day","Old","cbr_Old_19 Day","TG e","SX",0.00191091082000808,0.00120658369057662,15
"ct","1 Day","New","ct_New_1 Day","TG e","L0",0.0063359471961851,0.0063359471961851,14
"ct","1 Day","New","ct_New_1 Day","TG e","M0",0.110143592235442,0.0402420443810359,14
"ct","1 Day","New","ct_New_1 Day","TG e","M1",0.873570586072682,0.0410702117154555,14
"ct","1 Day","New","ct_New_1 Day","TG e","MX",0.00497493724784549,0.00372837850696195,14
"ct","1 Day","New","ct_New_1 Day","TG e","SX",0.00497493724784549,0.00372837850696195,14
"ct","1 Day","Old","ct_Old_1 Day","TG e","L0",0.00242468899359953,0.00172176311320541,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","M0",0.119836487780299,0.031197030893145,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","M1",0.831158786560182,0.0466448929288009,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","MX",0.0232900183329599,0.0159937280053242,17
"ct","1 Day","Old","ct_Old_1 Day","TG e","SX",0.0232900183329599,0.0159937280053242,17
"ct","19 Day","New","ct_New_19 Day","TG e","L0",0.121464358732084,0.0394583599859246,13
"ct","19 Day","New","ct_New_19 Day","TG e","M0",0.247641420667496,0.0568209720831033,13
"ct","19 Day","New","ct_New_19 Day","TG e","M1",0.630863627219689,0.0885984692336519,13
"ct","19 Day","New","ct_New_19 Day","TG e","MX",1.52966903657634e-05,1.52966903657634e-05,13
"ct","19 Day","New","ct_New_19 Day","TG e","SX",1.52966903657634e-05,1.52966903657634e-05,13
"ct","19 Day","Old","ct_Old_19 Day","TG e","L0",0.128745888453939,0.0487976292616382,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","M0",0.291450243075357,0.0549420806234695,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","M1",0.579803868470703,0.0897509009464522,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","MX",0,0,15
"ct","19 Day","Old","ct_Old_19 Day","TG e","SX",0,0,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","L0",0.0437500066499882,0.0259880795237789,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","M0",0.173890737736825,0.0370803935852138,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","M1",0.604938857767926,0.0690789805679597,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","MX",0.0887101989226302,0.035622477126563,15
"s06","1 Day","Older","s06_Older_1 Day","TG e","SX",0.0887101989226302,0.035622477126563,15
"s06","19 Day","Older","s06_Older_19 Day","TG e","L0",0.118033071027237,0.0527665993752067,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","M0",0.270206110468571,0.0597944016738266,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","M1",0.611760818504191,0.09890991767136,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","MX",0,0,14
"s06","19 Day","Older","s06_Older_19 Day","TG e","SX",0,0,14
"syd","1 Day","New","syd_New_1 Day","TG e","L0",0.0517268940563557,0.0349939731068884,13
"syd","1 Day","New","syd_New_1 Day","TG e","M0",0.0951990428700129,0.0400835865763664,13
"syd","1 Day","New","syd_New_1 Day","TG e","M1",0.853074063073631,0.0716997935975809,13
"syd","1 Day","New","syd_New_1 Day","TG e","MX",0,0,13
"syd","1 Day","New","syd_New_1 Day","TG e","SX",0,0,13
"syd","1 Day","Old","syd_Old_1 Day","TG e","L0",0.0608746187119109,0.0401384821173473,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","M0",0.158547620635373,0.041528015833065,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","M1",0.771981761618396,0.0767922163547016,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","MX",0.00429799951716001,0.00429799951716001,17
"syd","1 Day","Old","syd_Old_1 Day","TG e","SX",0.00429799951716001,0.00429799951716001,17
"syd","19 Day","New","syd_New_19 Day","TG e","L0",0.108589246581277,0.0485883469234948,15
"syd","19 Day","New","syd_New_19 Day","TG e","M0",0.259302954365176,0.0583663607906485,15
"syd","19 Day","New","syd_New_19 Day","TG e","M1",0.429171314794608,0.0963782017654515,15
"syd","19 Day","New","syd_New_19 Day","TG e","MX",0.10146824212947,0.0532715566778755,15
"syd","19 Day","New","syd_New_19 Day","TG e","SX",0.10146824212947,0.0532715566778755,15
"syd","19 Day","Old","syd_Old_19 Day","TG e","L0",0.141159915062667,0.0501897315651043,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","M0",0.277264654469751,0.0609726559230918,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","M1",0.581575430467582,0.102381254511431,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","MX",0,0,14
"syd","19 Day","Old","syd_Old_19 Day","TG e","SX",0,0,14
