"AcylChain","24:2#","24:0#","20:4#","20:0#","19:0#","18:3#","18:2#","18:1#","18:0#","17:0#","16:1#","16:0#","14:1#","12:0#","11:3#","10:2#","10:0#"
"1 Day_CL",0,0,3.385,0,0,12.4157,42.6652,1.725,0,0,26.6539,0.4497,0.7705,0,0,0,0
"1 Day_DG",0,0,3.6488,9.2262,0,10.3261,10.8564,13.59,1.8471,0,38.0339,8.8229,0,0,0,0,0
"1 Day_LPC",0,0,0,0,0,13.6944,21.5347,29.62,1.9231,0.4805,19.227,11.1943,0.2458,0.1028,0,0,0
"1 Day_PC",0.0756,0,0,0,0,12.6971,12.5593,14.6479,1.2531,0.631,20.4354,36.032,0,0,0,0,0
"1 Day_PC e",0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0
"1 Day_PE",0,0,0,0.3578,0,25.7261,6.2289,28.876,9.3654,0.0798,6.8253,22.4065,0,0,0,0,0
"1 Day_PE e",24.8508,0,0,18.0639,0.0174,7.2928,8.0368,5.9543,0.0573,0,3.1453,3.8654,0,24.8508,0,0,0
"1 Day_PE p",22.6331,15.032,0,0,0,4.0213,1.8765,6.3874,12.3348,0,0.0496,0,0,34.0572,0,0,3.608
"1 Day_PG",10.2744,0,0,0,0,19.6274,14.0294,9.319,0,0,5.081,31.3945,0,0,0,10.2744,0
"1 Day_PI",0,0,0,0,0,28.996,14.6011,20.4197,8.6445,0,5.289,22.0497,0,0,0,0,0
"1 Day_PS",0,0,0,0,0,25.2389,10.3725,50.3448,7.4582,0,0.1875,6.2107,0,0,0,0,0
"1 Day_TG",0,0.1136,0.0466,0.4303,2.9008,1.469,8.9807,21.7288,5.5055,0.7761,14.6185,27.4432,0.7289,1.1793,0.5151,0.0164,0.4501
"1 Day_TG e",0,0,0,19.5798,2.7344,2.7344,5.5444,32.4904,3.3915,2.7344,5.3183,8.1338,5.5444,0,5.5444,0,0
"19 Day_CL",0,0,3.6003,0,0,7.5195,30.1544,2.2826,0,0,48.0576,0.6049,0.5925,0,0,0,0
"19 Day_DG",0,0,9.4948,6.55,0,9.6842,16.0131,17.651,3.7662,0,24.5933,7.0899,0,0,0,0,0
"19 Day_LPC",0,0,0.0644,0,0,5.5453,9.3655,37.599,1.2834,0.687,35.9868,6.0464,0.8185,0.263,0,0,0
"19 Day_PC",0.1485,0,0.1997,0,0,5.8286,0.8885,24.4646,0.9586,0.4161,40.666,23.5639,0,0,0,0,0
"19 Day_PC e",0,0,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0
"19 Day_PE",0,0,0,0.2164,0,15.0234,11.6559,27.553,7.328,0.0465,10.9323,23.7917,0,0,0,0,0
"19 Day_PE e",18.0939,0,0,20.1536,0,8.2811,6.7441,16.8809,1.4727,0,10.2798,0,0,18.0939,0,0,0
"19 Day_PE p",18.7335,22.5949,0,0,0,1.7395,0,6.9309,8.6715,0,0.0012,0,0,34.3074,0,0,7.021
"19 Day_PG",9.4722,0,0,0,0,11.3136,12.1249,9.483,0,0,16.3599,31.7742,0,0,0,9.4722,0
"19 Day_PI",0,0,0,0,0,17.7898,16.654,16.6711,11.1289,0,13.7831,23.9731,0,0,0,0,0
"19 Day_PS",0,0,0.9558,0,9.2922,16.5951,5.7063,56.1203,5.5613,0,0.2025,4.4737,0,0,0,0,0
"19 Day_TG",0,0.2873,0.0198,0.324,0.6922,0.3858,7.7578,22.3889,4.105,0.7885,13.6317,38.0702,0.2947,1.412,0.0138,0.0141,0.8293
"19 Day_TG e",0,0,0,12.3216,6.8853,6.8853,0,22.3142,9.9598,6.8853,13.3719,8.8768,0,0,0,0,0
